draw_date,lottery_name,draw_no,prize_rank,prize_amount,winning_number,source_url
2021-01-12,Sthree Sakthi,AK-526,5,1000,1752,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,1804,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,1814,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,1864,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,1868,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,1896,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,1952,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,1956,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,1982,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2006,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2031,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,2086,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,2092,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,2096,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
